id	filename	md5	size	state
51b1e822-451a-40dc-9759-dd255946c43a	a7b078fc-341c-4e9e-ba61-1548bc4337c4.methylation_array.sesame.level3betas.txt	05f774ebac8fe2bc5b81d7c257cdfbe6	765508	released
658df258-b899-48e5-8c7f-fbdc34bcdecf	edfdabe5-7d6a-469a-98ab-697a8881b08e.methylation_array.sesame.level3betas.txt	d33267f052959d843fb915e13b926787	775628	released
19014293-a6a1-416b-81c4-b194b5c3e03d	03e826d2-b488-466c-9144-55b1e2532ae8.methylation_array.sesame.level3betas.txt	ebdb7d0efa8161cda4682fd2042e7940	758621	released
9ed33653-2382-43d8-b3e0-c6dbcb1a21ec	0e0fa48a-4e5d-4cec-96bd-7cea587f7928.methylation_array.sesame.level3betas.txt	a5a1486287613c91572ca05eadfe327e	741302	released
b43aa3e1-fda2-4364-9dc9-8f112ad7bf3d	d1a40d7e-8340-4fa2-9ac5-2556981566ce.methylation_array.sesame.level3betas.txt	189f6e0024c56e39f9dd94ebb3eabdfc	757631	released
dff4f993-8dbd-41a0-bbf2-0ebb82fb7b76	2a55cc19-3fa9-4483-aab5-38d53ba73649.methylation_array.sesame.level3betas.txt	f23c2dff462cd4ba88df68a8b48e3534	774745	released
50e353b3-5d4e-43e3-b94b-9102af9908be	71c38ad4-1e2e-4ac8-a39c-45e4a19016a2.methylation_array.sesame.level3betas.txt	60fa91ede4cad0f7565fd86b5ff88f8a	765836	released
7a850cc8-b8d0-4e0d-8945-b4e9ad5bed67	bf0e1f52-34c7-4f96-b5a0-65bf285a309f.methylation_array.sesame.level3betas.txt	dff082c30de01e5d89b39b2340ed66f7	13189841	released
f1a098f9-f9bd-401b-8625-d71e67d85a16	732547f9-5e8f-449f-9a35-e4fd355a98b6.methylation_array.sesame.level3betas.txt	2f5e33b4272b497c5a5e987d9d142fec	753101	released
08fb15d8-671e-4090-b8ce-83fc1624ac7d	600cca17-2a77-444e-9643-5b11e7150f1c.methylation_array.sesame.level3betas.txt	31ba106f4e2d9355a17ef0ab6e6fc7c7	766679	released
